site,job_url,job_url_direct,title,company,location,job_type,date_posted,description
linkedin,https://www.linkedin.com/jobs/view/3856985518,,Management Accountant / Bookkeeper,Page Personnel,"City Of London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3855204413,,Management Accountant - Outsourcing Assistant Manager,Menzies LLP,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3855773314,,Management Accountant,BACK HOME BAND,"Little London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3855706022,,Client Accountant,CSC Global Financial Markets,"London Area, United Kingdom",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3855204411,,Management Accountant - Outsourcing Manager,Menzies LLP,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3857377540,,Management Accountant,Rentokil Initial,"Crawley, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3855534448,,Assistant Accountant,ClickJobs.io,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3851134012,,Part Time Bookkeeper,TwentyFour Recruitment Group,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3852354627,,Bookkeeper,Cornerstone Project Source,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851766534,,Assistant Management Accountant,Trace – Expert Accountancy Recruitment,"London, England, UK",,2024-03-13,"RoleGroup Management Accountant – 18 Month Contract£55,000 - £65,000 + £5,000 completion bonus Absolute Recruit are partnered with a global Fintech business, as they look for a Qualified Accountant to join their team. Initially, this will be an 18-month contract, but with the business expanding as it has been it could lead to a permanent position being offered at the end of the contract. The role will support the business with the preparation of monthly, half yearly and yearly accounts for the board. Taking ownership of the month-end reporting process for several of their key entities (UK, APAC, US) and will also involve reviewing journal postings from junior colleagues to ensure accuracy. The business has a complex group structure with over 40 entities and 150+ bank accounts globally, and this role will require a Qualified Accountant who has excellent attention to detail. Key tasks: Monthly management accounts preparation for several key entities (UK, APAC, US) and preparing the board packsReviewing and approving colleague's work; including balance sheet, accruals, prepayments, intercompany transactions, payroll entriesDownloading high volumes of data from data system and finance system, manipulating in ExcelSupport year end audit process for the groupAssist the CFO and wider finance team with process and system improvementsRequirements:Must be a qualified Accountant (ACA, ACCA, CIMA) – unfortunately we cannot accept applicants who are not qualifiedMulti-jurisdictional reporting experience is essential (UK, APAC, US would be ideal) and candidates must have experience using lots of different currenciesStrong management accounting experience, with experience reviewing and approving journal postings from junior colleaguesPrior experience in a high-volume business (both high volumes of transactions and able to deal with high volumes of data)Good Excel experience is a must (candidates will need to be able to demonstrate daily use of Excel using functions like VLookups and Pivot tables)Fintech/Payments background would be beneficial but is not essentialPackage:Salary: £55,000-£65,000 (dependant on experience)£5,000 completion bonus at the end of the 18-month contract25 days holiday + Bank holidays off + the office is closed between Christmas and New YearPrivate HealthcarePensionVery flexible home/office working policyCompany social events



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3854532353,,Billing Accountant,Indeed Flex,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3855058712,,Financial Accountant,CUBE,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3852309344,,Financial Accountant - 12 month FTC,Moonpig,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851126966,,Senior Bookkeeper,Distinct,"London, England, UK",,2024-03-13,"We are looking for a Management Accountant to join the Finance team here at Harrods. You will be responsible for driving the financial performance and strategic decision-making within our organisation.About the RoleReporting to the Finance Manager, you will work alongside directors, department heads and finance professionals to ensure efficient financial reporting and variance analysis in alignment with our business objectives. You will also be expected to ensure robust financial control and reporting accuracy is upheld.In addition, you will look to continuously improve relevant processes and procedures to drive both efficiency and accuracy.You will also:Conduct monthly reconciliations of balance sheet accounts to maintain financial integrity.Collaborate with relevant senior stakeholders to develop and prepare detailed annual budgets, ensuring they align with strategic goals.Undertake ad hoc analysis and tasks as required within the Finance Team, contributing to the overall financial health of the organization.About YouYou will be fully qualified accountant (ACA/ACCA/CIMA) with previous management accountant experience. Retail experience is desirable but not essential.You will have an eye for detail with the commitment to precision ensures that financial reporting and analysis are accurate and reliable. You will also be problem Solver: Proficient at identifying financial challenges, you proactively seek solutions to drive financial optimization.The Management accountant we are looking for will be an analytical thinker, who possess a keen analytical mindset and is capable of dissecting complex financial data. You will have exceptional verbal and written communication skills that can convey financial insights clearly and collaborate seamlessly with diverse teams.About UsHarrods is one of the world’s leading luxury department stores and we’re becoming a destination for top designers, and the most sought-after brands from around the globe. Our combined mission is to make visiting our iconic Knightsbridge store one of the world’s most inspiring shopping experiences.Our Promise to YouHelp us make the impossible possible for our customers and we’ll do something remarkable for you. As well as offering a friendly environment to inspire your best work, we provide abundant opportunities and support to build an exceptional career across the varied specialisms of our business. In return, you’ll receive an excellent benefits package, including a company pension, flexible working, 25 days’ holiday, and your birthday off, up to 33% in-store discount (including across our food hall and restaurants) and a season ticket loan.Uniquely YouAt Harrods we believe the personality and authenticity of our people sets us apart. We celebrate and invite applications from all cultures, backgrounds, tastes, and experiences and are proud of our culture where people from all walks of life can grow and thrive. What makes you unique makes us exceptional.While our job adverts outline the ideal qualities, skills, and prior experience for the role, we believe in the potential for growth and value individual strengths. If you do not meet every desired criteria but feel you have the skills and experience to thrive in this role as well as a genuine interest in working for Harrods and you can demonstrate an alignment with our values, we would encourage you to apply.If you want to know more about our people and our culture, search #TogetherHarrods on LinkedIn, Facebook or follow us on Instagram @togetherharrods



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3854219194,,Assistant Management Accountant,RD Content,"Greater London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3855999927,,Financial Controller,Elite Metalcraft,"Greenford, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851798271,,Fund Accountant,Phipps Cameron,"London Area, United Kingdom",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3853671628,,Senior Accountant,Bennett & Game Recruitment Limited,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3854225804,,Senior Accountant,Zachary Daniels,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3852346685,,Management Accountant,Grafton Banks Finance Ltd,"Kent, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3854266594,,Part Time Junior Accountant - Creative Agency - London,Handle Recruitment,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3853995011,,"Fund Accountant Real Estate  London   to £60,000 plus bonus",Alexander Charles,"London Area, United Kingdom",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3855158879,,Accountant,Page Personnel,"London, England, UK",,2024-03-13,"Twenty-Four Recruitment Group is delighted to be working with a vibrant and energetic business, that is currently looking for an enthusiastic and self motivated candidate to join their team.Type: Part Time - 21/28 hours pwPattern: Office BasedDutiesPurchase ledgerSales LedgerCompetent in all aspects of Xero and will be responsible for ensuring that the bookkeeping is kept up to date.Good Excel knowledge (Lookups & Pivot tables) and managing and producing spreadsheets.Capable of working on Google Sheets.Admin duties that are all linked to the accounts and financial reports.TwentyFour Recruitment is an equal-opportunity employer. If your skill set and experience match the above ad then please apply today and if your CV is shortlisted a consultant will contact you to discuss the next stage of the recruitment process.
        


        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3851132354,,Senior Accountant,Trace – Expert Accountancy Recruitment,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851769169,,VAT Accountant,Goodman Masson,"London Area, United Kingdom",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851132330,,Financial Accountant,Savant Recruitment Experts,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851750548,,Accountant / Assistant Finance Manager - Hotel Group,J&T Recruitment,"London Area, United Kingdom",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851130189,,Financial Reporting Accountant,Randstad UK,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851141991,,Senior Financial Accountant,Barclay Meade,"City Of London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851748868,,Financial Reporting Accountant,Goodman Masson,"London Area, United Kingdom",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851762682,,Principal Financial Accountant,Spencer Clarke Group,"London, England, UK",,2024-03-13,"Company DescriptionLocation: London, EnglandHybrid work: Employees work in a hybrid model balancing collaboration in our office and remote work.Find a job that let’s your imagination run wild! Join our WildBrain CPLG team, part of the global WildBrain organization, to make us part of your story! WildBrain CPLG is a world-leading entertainment, sport and brand licensing agency, with offices in the UK, Europe, India, the Middle East, the US and Asia. With over 45 years of experience in the licensing industry, WildBrain CPLG provides its clients with dedicated licensing and marketing professionals and fully integrated product development, legal and accounting services. WildBrain CPLG believes that collaboration is about clarity, openness and trust, and is widely known for its no-nonsense, straightforward approach. The agency’s ASPIRE division is a leader in Corporate & Lifestyle brand representation and management.About The RoleReporting to the VP Finance and Operations, the Financial Controller will be responsible for accounting, treasury, control and compliance for all entities and branches within the WildBrain CPLG group. They will be the super-user for the accounting system (Great Plains) and responsible for bringing use into alignment with other teams in the WildBrain group; in charge of all internal and external financial reporting for WildBrain CPLG; manage the transactional functions (AP and AR), general accounting (Management Accountant) as well as directly manage banking and cash flow. Responsible for the control environment withing WBCPLG, developing best practice alongside the corporate risk team.This role is an opportunity to significantly contribute to the transformation of the divisional finance function. The right candidate will be excited to be part of a change journey and be able and willing to be hands on while building team processes, best practice and capabilities.Job DescriptionAccounting operations managementSupervise and manage accounting operations (Accounts Payable, Accounts Receivable and General Accounting)Ensure accuracy, efficiency, and compliance in financial transactionsCredit checks and credit approval of new businessVendor setup and managementFinancial reportingManage monthly close (maximum 10 days, including full analysis and reporting pack reviewed by leadership)Revenue recognition, accruals, prepayments, intercompany, payroll accounting, revaluationsPrepare and review adjusting journal entries in accordance with company/parent company policesResponsible for the preparation of the month end P&L management information packs covering revenues and costsConduct monthly consolidation of CPLG group accounts and responsible for all reporting of financial monthly actuals to WB Toronto head office including quarterly notes packageMaintain general ledger chart of accounts, superuser of the accounting system (Great Plains)Research and address technical accounting issuesInternal Controls and Risk ManagementDesign, implement and monitor effective internal controlsEnsure the completion and review of all account reconciliationsMaintain and develop safeguards over assets, revenues and cashEnsure compliance with parent company established corporate and accounting policiesCompliance Manage all statutory, corporate tax and sales tax filings for entities and branches in UK and Europe, oversee compliance in China and APAC (Finance Managers in place locally)Onboard accounting currently performed by third party accounting firmsManage internal and external audit requirementsResponsible for the submission of accurate and timely WBCPLG corporation tax, payroll taxes and withholding taxes across the groupCorporate tax planning in conjunction with Group Tax teamTreasuryManage cash balances and administration of company bank accountsPrepare and manage 13 week cash flow forecastsManage employee expenses process (personal expense claims and corporate credit cards), including implementing Concur in all territories (with assistance of Corporate team)Ensure financial transactions and reports are prepared in accordance with IFRSLeadershipManagement of 3 direct reports (AP, AR/accounts assistant, Management Accountant)Key member of WBCPLG finance leadership team (along with Head of Partnership Finance, and Heads of Finance in China and APAC)QualificationsQualified accountant – ACA, ACCA or CIMA5+ years of experienceIFRS accounting knowledgeExperience of managing a team essentialGreat Plains experience beneficial but not essentialStrong MS Excel skills (VLOOKUP, Pivot tables)Demonstrated ability to juggle multiple tasks within a fast-paced environmentStrong written and verbal English communication skillsA strong attention to detail, organisation and prioritisation skillsAdditional InformationWhat We Offer Working at WildBrain is more than a job — it’s the opportunity to join forces with extraordinary, insightful and imaginative people who will recognize your talents and encourage your professional growth and development in a work environment that promotes creativity and individuality. We offer competitive family-focused benefits, we invest in our people and their future with generous RRSP matching, plus bonus time-off, because you deserve it! Our Commitment  Diversity and Inclusion are in our DNA. As a global leader in kids and family entertainment, we strive to reflect and honour the diversity of our audiences around the world. We believe that creating diverse and inclusive content & brands begins with fostering a culture of belonging at WildBrain. To us, a culture of belonging is one where we celebrate and welcome the diversity of all employees, stakeholders, and external partners and strive to create an environment where every individual feels valued, respected, and brings their authentic self to work.  We demonstrate our commitment to this by striving to provide a supportive work environment and a corporate culture that welcomes and encourages equal opportunities for all employees. We recognize that people bring experience and talent that goes beyond the technical skills and requirements of a job. If you possess similar experience that is close to what we’ve listed here, we encourage you to please still consider applying. We strongly believe that diverse experience, transferable skills, and passion are key! WildBrain accommodates people with disabilities throughout the recruitment and selection process. Applicants are encouraged to make their needs known in advance if accommodation is required. About WildBrain:  a parent company of Wildbrain CPLGAt WildBrain we inspire imaginations through the wonder of storytelling. As a leader in 360° IP management, we are experts in content creation, audience engagement and global licensing, cultivating and growing love for our own and partner brands with kids and families around the world. With approximately 13,000 half-hours of filmed entertainment in our library—one of the world’s most extensive—we are home to such treasured franchises as Peanuts, Teletubbies, Strawberry Shortcake, Yo Gabba Gabba!, Caillou, Inspector Gadget and Degrassi. WildBrain’s mission is to create exceptional entertainment experiences that captivate and delight fans both young and young at heart. Our studios produce such award-winning series as The Snoopy Show; Snoopy in Space; Strawberry Shortcake: Berry in the Big City; Sonic Prime; Chip and Potato; Teletubbies Let's Go! and many more. Enjoyed in more than 150 countries on over 500 platforms, our content is everywhere kids and families view entertainment, including YouTube, where our network has garnered over 1 trillion minutes of watch time. Our television group owns and operates some of Canada’s most-viewed family entertainment channels. WildBrain CPLG, our leading consumer-products and location-based entertainment agency, represents our owned and partner properties in every major territory worldwide.  WildBrain is headquartered in Canada with offices worldwide and trades on the Toronto Stock Exchange (TSX: WILD). Visit us at wildbrain.com. 
        


        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3856100569,,Senior Group Accountant &amp;ndash; Recruitment Sector,Progresso Search,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3851755611,,GL Accountant,GANT,"London Area, United Kingdom",,2024-03-13,"1 Month Notice Period or Less A MustPaying up to £37,000Hybrid (2 Days a week in Office) - PaddingtonAssistant Management Accountant - Media Network - Central London - £35,000-£37,000  We are recruiting a fantastic new role within a large Media network for a Assistant Management Accountant. You will be working with a group of finance professionals within a dynamic team that are seeking to increase the efficiency of the accounting services whilst working at all times to improve the control environment. This Assistant Management Accountant Position has become available in their central finance team where you will be reporting into the Head of Finance and Finance Manager. You should be a self-starter and have the ability to deal with people at all levels. You should have a sense of humour and enjoy working, proactively, as part of the finance team. Main Responsibilities:Responsible for delivering monthly and quarterly management accounts for selected entities alongside the management reporting team, including review of supporting reconciliations and commentary and submission to group reporting system.Ad-hoc reports and analysis for the entities in chargeCoordinating and dealing with intercompany group matching at month endsAssisting with preparation of commentary on variance analysis and performance reportable to the company, as requiredDealing with additional monthly/quarterly submissions including preparation and submission of a group quarterly tax pack and internal reporting requirements (IRPs)Assisting with interim and year-end statutory auditsAssist in the development of annual budgets and forecasts.Aid and report on key performance indicators (KPIs), providing recommendations for improvement where necessary.Preparation of the year-end statutory tax packageReview and preparation of the annual and quarterly tax packs and supporting schedules. Requirements:Strong interpersonal skills; able to communicate at all levels.Short notice period/immediately available ACA/ CIMA / ACCA finalist / recently qualified Strong technical and analytical skillsGood working knowledge of ExcelHas a point of view and is not afraid to challenge when appropriate.Tactful and diplomatic when dealing with sensitive issues.Strives to learn new skills and pro-actively updates the team.Demonstrates enthusiasm for developing new ideas and is pro-active in suggesting changes.Taking responsibility of timely delivering to the deadlineQuick to learn and adaptable to changing work allocation and environment.Strong organisational skills and ability to work to tight deadlines.If this sounds like you please do get in touch here or via my email .At Trace, we are committed to fostering an inclusive and diverse workplace and believe that, in any business, it is imperative that all members of staff feel appreciated and respected in their roles.Our job is simply to find the best candidate on the market, regardless of their age, race, religion, disability, gender identity, sexual orientation or any other factor irrelevant to their qualifications and competencies.If you have any further questions regarding accessibility throughout the process, then please get in touch or call a member of our DEIB Champions team.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3854623664,,General Ledger Accountant,IT Career Switch,"London, England, UK",,2024-03-12,
linkedin,https://www.linkedin.com/jobs/view/3854643434,,Accountant,CUBE,"London Area, United Kingdom",,2024-03-12,
linkedin,https://www.linkedin.com/jobs/view/3854607775,,Part Qualified Financial Accountant,BrandAlley.co.uk,"London, England, UK",,2024-03-12,
linkedin,https://www.linkedin.com/jobs/view/3827119298,,Fund Accountant,Cameron Kennedy,"Greater London, England, UK",,2024-03-12,
linkedin,https://www.linkedin.com/jobs/view/3854620314,,Senior Financial Accountant,Boden Group,"London, England, UK",,2024-03-12,
linkedin,https://www.linkedin.com/jobs/view/3853208050,,Accountant (R2R) - 12 Months Fixed Term Contract,Informa,"Colchester, England, UK",,2024-03-12,
linkedin,https://www.linkedin.com/jobs/view/3853217078,,Management Accountant,KennedyPearce Consulting,"London Area, United Kingdom",,2024-03-12,
linkedin,https://www.linkedin.com/jobs/view/3854495428,,Group Financial Accountant,COREcruitment Ltd,"Milton Keynes, England, UK",,2024-03-12,
linkedin,https://www.linkedin.com/jobs/view/3857566125,,Junior Bookkeeper,DevFinders,"Greater London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3854900485,,Bookkeeper,Distinct,"London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3854075107,,Bookkeeper / Accounting Assistant,Hyered,"London Area, United Kingdom",,,"Job ProfileOur client is a 3 partner Accountancy firm based in Central London who is seeking an experienced and confident Senior Accountant to assist the Partners in the day to day client portfolio workThe successful Senior Accountant will be responsible for a number of clients, which vary in size and complexity, carrying out statutory accounts, reviewing financial statements and dealing with queries in a very client facing role.The ideal Senior Accountant will have a good deal of experience within practice, up to date tax knowledge and ACCA, ACA and QBE qualified Accountants will be consideredSenior Accountant Position OverviewDealing with clients in a very hands on rolePreparing, reviewing and submitting statutory accounts for sole traders, partnerships and limited companies.Preparing management accountsPreparing and submitting business and personal tax returns for a range of clientsProviding advice for a variety of different matters in a confident and efficient mannerSenior Accountant Position Requirements3+ Years' experience working in an Accountancy PracticeACCA/ACA qualified or QBEGood working knowledge of cloud softwareExperience guiding and mentoring junior members of staffSenior Accountant Position Remuneration£40,000 - £47,000 per annum25 days holiday plus bank holidaysHybrid working model after probationStudy support if necessaryPrivate medical healthcareCPD costs included and paid for by the companyBennett and Game Recruitment are a multi-disciplined technical recruitment agency based in Chichester, West Sussex operating across the UK with specialist teams covering a range of industries. We are acting as a Recruitment Agency in relation to this vacancy, and in accordance with GDPR by applying you are granting us consent to process your data, and contact you in relation to this application and the services we offer.
        


        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3855422455,,"Accountant Shipping Group London  £110,000 plus bonus",Alexander Charles,"London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855425078,,Part-time Bookkeeper (3 days per week),Fusion Recruitment,"London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855752085,,Management Accountant,LMA,"London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855756850,,Accountant,SelectStaff Recruitment,"Rickmansworth, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855480845,,Assistant Management Accountant,Simpson Judge Ltd,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3856814415,,Accountant,Tradition,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3855426119,,Assistant Accountant,TEMPLEWOOD RECRUITMENT LTD.,"Ruislip, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855457269,,Management Accountant,Morgan McKinley,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3856628573,,Accounting Manager,Gresham Hunt,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3856632957,,Financial Controller,Refreshing Finance Recruitment,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3834663079,,Assistant Revenue Accountant,Sheridan Maine - Accountancy & Finance Recruitment,"Greater London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855442652,,Financial Controller,Simpson Judge Ltd,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3856676839,,Junior Accountant,Bennett & Game Recruitment Limited,"Hornchurch, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855422868,,Assistant Accountant,RF Recruitment Consultancy LTD,"London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3858691669,,Group Financial Controller,Natoora,"London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855493589,,Management Accountant,Ignata Finance - a ZRG Partners Company,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3858754220,,Management Accountant,Equifind,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3834613903,,Management Accountant,Sheridan Maine - Accountancy & Finance Recruitment,"Greater London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3858687919,,Senior Accounts Payable Officer,Victoria and Albert Museum,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3855418284,,Group Financial Accountant,Goodman Masson,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3856820445,,Senior Accounts Payable Administrator,Cognita Schools,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3856852508,,Commercial Management Accountant,Cedar,"London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3853483587,,Fund Controller,Eames Consulting,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3855419966,,Financial Accountant,CV Screen Ltd,"London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3854367711,,Assistant Finance Accountant,Ocado Group,"Hatfield, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3858825053,,Accounting Assistant,THP Solicitors (The Head Partnership LLP),"Reading, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3858805871,,Finance and Project Accountant,DP World,"London Area, United Kingdom",,,
linkedin,https://www.linkedin.com/jobs/view/3855467825,,Senior Accountant,LKA Recruitment,"Reading, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3856091092,,Practice Bookkeeper,Bennett & Game Recruitment Limited,"Gerrards Cross, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855417653,,Accounts Payable Clerk,Olympus Recruitment Ltd,"Windsor, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3855470576,,Assistant Accountant,Compass Point Recruitment,"Cambridge, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3856860042,,Financial Controller,Partner Group,"Greater London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3831278652,,Investment Banking – EMEA Real Estate – Analyst – London,JPMorgan Chase & Co.,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3850383626,,Investment Performance Analyst,Mayford James,"Greater London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3844067233,,Investment Banking Healthcare Associate/Senior Analyst (London),RBC,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3858687781,,Investment associate - oil and gas/ metals and mining/ commodities principal investments - global firm,Greenwich Partners,"Greater London, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3831896117,,"Investment Platform Support Lead Analyst 1 - Schroders Campus, near Horsham",Schroders,"Horsham, England, UK",,,
linkedin,https://www.linkedin.com/jobs/view/3857192318,,Lead Product Manager,Student Beans,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3853492745,,Product Manager,Movement8,"London Area, United Kingdom",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3830601667,,Senior Product Manager,Hutch,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3828567225,,Product Manager (Websites),Space Executive,"Greater London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3855552445,,Product Manager - Orders & Returns,Tesco,"Welwyn Garden City, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3855709342,,Product Manager - Cards Payment Processing,Bolt Talent Solutions,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3853788988,,Product Manager,myGwork - LGBTQ+ Business Community,"London, England, UK",,2024-03-14,"“Everyone is a customer for somebody, or a supplier to somebody.” W. Edwards Deming. Sheridan Maine is proud to partner with our esteemed client, a dynamic and rapidly growing company based in London, in the search for an Assistant Revenue Accountant. This is a fantastic opportunity for an individual with a passion for finance, stakeholder management, and a desire to contribute to the success of a thriving organisation. Responsibilities of the Assistant Revenue Accountant include:Own and maintain the creation of client projects in the SAP system ensuring alignment with client contract and inter-company sharing arrangements.Arrange billing of clients on a timely basis to ensure revenues are recognised in the correct accounting periods.Monitor client project financials ensuring alignment with project plan including inter-company revenue and cost allocation where necessary.Prepare, maintain and analyse financial reports and documentation.Credit control responsibilities including the direct communication with customers to ensure on-time payments.Calculation and ongoing ownership of overdue debtors’ interest calculations.Assist with the yearly audit. The successful Assistant Revenue Accountant:AAT Finalist or CIMA/ACCA level 1 or equivalent qualification.Proven experience in a finance or accounting role.Strong stakeholder management skills.Familiarity with accounts receivable processes (preferred but not essential).Excellent attention to detail and analytical skills.Effective communication and interpersonal abilities. What's in it for you:Competitive salary and benefits package.Hybrid working (50% office based).Opportunity to work in a dynamic and collaborative environment.Career development and growth within a rapidly expanding company. If you are a proactive and detail-oriented individual with a passion for finance and would like to hear more about this exciting opportunity, please click on “apply” as soon as possible. You are required to be eligible to work in the UK full time without restriction. Due to the high volume of applications we receive it is not always possible to respond to unsuccessful applicants. Therefore, if we have not responded to your application within five days, please assume that on this occasion your application has not been successful.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3853422492,,Product Owner,Dabster,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3853481490,,Product Manager,MOO,"London Area, United Kingdom",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3818970260,,Lead Product Manager - New Ventures,Cleo,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3853747970,,Product Manager - Offer & Order Management,British Airways,"Hounslow, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3857367683,,Product Manager,Blenheim Chalcot,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3853742011,,Senior Product Manager (Content Experience),Sky,"Isleworth, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3853481142,,"Product Manager - Real-Time Platform, Technology, and Content",myGwork - LGBTQ+ Business Community,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3857312878,,Product Manager,1st Formations,"Greater London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3857157374,,Product Manager,PEI,"London Area, United Kingdom",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3789733846,,Senior Product Manager,Medidata Solutions,"Greater London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3857526405,,"Aladdin Product, Senior Product Manager",BlackRock,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3857195204,,Product Development Manager (1 Year Contract),The Opportunity Hub UK,"Amersham, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3853706033,,Automotive Technical Product Manager,Insight Employment Ltd,"Milton Keynes, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3818072260,,Group Product Manager - Cash Advance,Cleo,"London, England, UK",,2024-03-14,
linkedin,https://www.linkedin.com/jobs/view/3843571265,,Group Product Manager - Investran,IQ-EQ,"London, England, UK",,2024-03-14,
